Date,AMC,GME,DIS,DOGE,AMZN,VTSAX
2/1/2021,13.3,225,170.97,0.0037,3342.88,
,,,,0.0039,,
,,,,0.0039,,
,,,,0.0046,,
,,,,0.0048,,
,,,,0.0045,,
,,,,0.0038,,
,,,,0.0046,,
,,,,0.0046,,
,,,,0.0045,,
,,,,0.0045,,
,,,,0.0046,,
,,,,0.0045,,
,,,,0.0046,,
,,,,0.0047,,
,,,,0.0057,,
,,,,0.0106,,
,,,,0.0098,,
,,,,0.0098,,
,,,,0.0099,,
,,,,0.0105,,
,,,,0.0097,,
,,,,0.0098,,
,,,,0.0102,,
,,,,0.0099,,
,,,,0.0088,,
,,,,0.0081,,
,,,,0.0086,,
,,,,0.0094,,
,,,,0.0094,,
,,,,0.0093,,
,,,,0.0091,,
,,,,0.0092,,
,,,,0.0091,,
